"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"Experiments-04-05-ABM.nlogox"
"exp1_policy_grid"
"05/05/2026 00:18:33:888 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","number-employees","initial-misconduct-propensity","initial-fear","response-strength","drift-speed","punishment-value","reporter-protection","[step]","true-misconduct-total","sanctioned-misconduct-total","hidden-misconduct-total","hidden-misconduct-rate","reported-events-total","retaliation-events-total","mean [fear] of employees","mean [misconduct-propensity] of employees"
"134","300","0.4","0.3","0.2","0.05","0.25","0.2","300","88038","10552","77486","0.8801426656670983","10552","8417","0.7088405303054968","1"
"150","300","0.4","0.3","0.2","0.05","0.25","0.25","300","86664","12120","74544","0.8601495430628635","12120","9090","0.7170026260227973","1"
"153","300","0.4","0.3","0.2","0.05","0.25","0.3","300","75295","13433","61862","0.8215950594328972","13433","9499","0.7381458333516185","1"
"154","300","0.4","0.3","0.2","0.05","0.25","0.3","300","74150","13334","60816","0.8201753202966959","13334","9333","0.7461965386954625","1"
"161","300","0.4","0.3","0.2","0.05","0.25","0.35","300","29424","10556","18868","0.6412452419793366","10556","6865","0.5713752088313306","0.3205965677057445"
"162","300","0.4","0.3","0.2","0.05","0.25","0.35","300","29363","10627","18736","0.6380819398562817","10627","6824","0.5730743511890409","0.32077552526424097"
"155","300","0.4","0.3","0.2","0.05","0.25","0.3","300","74540","13491","61049","0.8190099275556748","13491","9372","0.7461877883578568","1"
"164","300","0.4","0.3","0.2","0.05","0.25","0.35","300","29305","10468","18837","0.6427913325371097","10468","6838","0.5673438859482455","0.32189921669285065"
"165","300","0.4","0.3","0.2","0.05","0.25","0.35","300","29517","10624","18893","0.6400718230172443","10624","6855","0.5652471546837335","0.32145876770259707"
"167","300","0.4","0.3","0.2","0.05","0.25","0.35","300","29475","10535","18940","0.6425784563189143","10535","6906","0.5868983238539883","0.3190476201635651"
"163","300","0.4","0.3","0.2","0.05","0.25","0.35","300","29382","10504","18878","0.6425022122387857","10504","6933","0.5656146228443817","0.3256913319803212"
"157","300","0.4","0.3","0.2","0.05","0.25","0.3","300","73896","13345","60551","0.8194083576918914","13345","9350","0.7409447170788518","0.9995351303204734"
"156","300","0.4","0.3","0.2","0.05","0.25","0.3","300","74606","13467","61139","0.8194917298876766","13467","9371","0.7288963234471251","1"
"168","300","0.4","0.3","0.2","0.05","0.25","0.35","300","29469","10665","18804","0.6380942685533951","10665","6958","0.5768123031609738","0.31875415082022407"
"158","300","0.4","0.3","0.2","0.05","0.25","0.3","300","74526","13439","61087","0.8196736709336339","13439","9357","0.7396376709166099","1"
"166","300","0.4","0.3","0.2","0.05","0.25","0.35","300","29504","10575","18929","0.6415740238611713","10575","6894","0.5722144574368115","0.3200366185176845"
"169","300","0.4","0.3","0.2","0.05","0.25","0.35","300","29478","10543","18935","0.6423434425673383","10543","6843","0.5783587824855148","0.32112255537708745"
"160","300","0.4","0.3","0.2","0.05","0.25","0.3","300","73954","13212","60742","0.8213484057657463","13212","9299","0.7443882814047226","1"
"170","300","0.4","0.3","0.2","0.05","0.25","0.35","300","29323","10580","18743","0.6391910786754424","10580","6858","0.5592921827110556","0.3223005787437521"
